city,make,model,name,owner,state,type,url,year,zip,average_turnover,total_turnover,total_trips_days,observed_trips
Austin,Subaru,Impreza,Jonathan's Subaru,Jonathan L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/subaru/impreza/725586,2012,,30.00,210,3,2
Austin,Subaru,XV Crosstrek,Jonathan's Subaru,Jonathan L.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/subaru/xv-crosstrek/863424,2013,,23.00,156,2,1
Austin,Toyota,Prius,Jonathan's Toyota,Jonathan L.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/toyota/prius/715023,2013,,39.00,272,4,1
Austin,Mercedes-Benz,G-Class,evan's Mercedes-Benz,Evan C.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/mercedes-benz/g-class/977384,2017,78701,0.00,0,0,0
Austin,Mercedes-Benz,C-Class,Amelia's Mercedes-Benz,Amelia C.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/mercedes-benz/c-class/973277,2018,78701,0.00,0,0,0
Austin,Acura,ILX,Dylan's Acura,Dylan B.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/acura/ilx/756972,2017,,0.00,0,0,0
Austin,BMW,X7,Christine's BMW X7,Cristiano M.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/bmw/x7/836384,2020,78701,0.00,0,0,0
Austin,FIAT,500e,Gregg's FIAT,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/fiat/500e/851345,2017,,10.00,70,2,1
Austin,Mazda,3,Constantinos's Mazda,Constantinos D.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/mazda/3/983242,2018,,38.00,265,5,2
Austin,Volkswagen,Atlas Cross Sport,Jose's Volkswagen,Jose M.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/volkswagen/atlas-cross-sport/983044,2020,78701,0.00,0,0,1
Austin,Jeep,Wrangler Unlimited,Joseph's Jeep,Joseph C.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/jeep/wrangler-unlimited/717333,2020,78701,0.00,0,0,0
Austin,FIAT,500e,Gregg's FIAT,Gregg H.,TX,car,https://turo.com/us/en/car-rental/united-states/austin-tx/fiat/500e/907796,2017,,20.00,135,3,1
Austin,Land Rover,Range Rover Evoque,Gregg's Land Rover 6385,Gregg H.,TX,suv,https://turo.com/us/en/suv-rental/united-states/austin-tx/land-rover/range-rover-evoque/631130,2013,,0.00,0,0,0
